time,LA Lakers,pts.away,score,pts.home,Cleveland
2:27.0,,,100-113,2,K. Irving makes 2-pt shot from 19 ft
2:26.0,LA Lakers full timeout,,100-113,,
2:07.0,L. Williams makes 2-pt shot from 15 ft,2,102-113,,
1:53.0,,,102-116,3,L. James makes 3-pt shot from 24 ft (assist by K. Irving)
1:40.0,K. Bryant makes 2-pt shot at rim,2,104-116,,
1:22.0,,,104-116,,L. James misses 2-pt shot at rim
1:19.0,,,104-116,,Offensive rebound by L. James
1:19.0,,,104-116,,L. James misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by D. Russell,,104-116,,
1:14.0,J. Clarkson makes 3-pt shot from 23 ft,3,107-116,,
0:56.0,,,107-118,2,K. Irving makes 2-pt shot from 13 ft
0:49.0,L. Williams makes 2-pt shot from 1 ft,2,109-118,,
0:40.0,Personal foul by D. Russell (drawn by K. Irving),,109-118,,
0:40.0,M. World Peace enters the game for K. Bryant,,109-118,,
0:37.0,Personal foul by D. Russell (drawn by K. Irving),,109-118,,
0:37.0,,,109-119,1,K. Irving makes free throw 1 of 2
0:37.0,,,109-119,,J. Cunningham enters the game for L. James
0:37.0,,,109-120,1,K. Irving makes free throw 2 of 2
0:28.0,M. World Peace makes 2-pt shot from 1 ft,2,111-120,,
0:04.0,,,111-120,,Turnover by Team (shot clock)
0:00.0,D. Russell misses 3-pt shot from 29 ft,,111-120,,
0:00.0,Offensive rebound by Team,,111-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
